Q-1 Som-2011 1 34.947441951057286  | PRF Score
Q-6 Som-1655 10 37.473509312025975  | PRF Score
Q-6 Som-1053 11 33.90855905300662  | PRF Score
Q-6 Som-0419 12 33.73599319546792  | PRF Score
Q-6 Som-1480 13 33.29876908090032  | PRF Score
Q-6 Som-2222 14 31.2352579642426  | PRF Score
Q-6 Som-2256 15 31.035662002335272  | PRF Score
Q-6 Som-1951 16 27.106605797479567  | PRF Score
Q-6 Som-0110 17 26.726107782389658  | PRF Score
Q-6 Som-1439 18 24.272330720986695  | PRF Score
Q-6 Som-1603 19 20.838940896165195  | PRF Score
Q-6 Som-1955 20 17.684661634557123  | PRF Score
Q-7 Som-1613 1 53.54637658029087  | PRF Score
Q-7 Som-1615 2 44.104741088591744  | PRF Score
Q-7 Som-1749 3 36.901488057530045  | PRF Score
Q-7 Som-0439 4 27.31553587604732  | PRF Score
Q-7 Som-2017 5 25.659579931949345  | PRF Score
Q-7 Som-1761 6 22.33210621865297  | PRF Score
Q-7 Som-1009 7 15.74691145998936  | PRF Score
Q-7 Som-0797 8 13.014517138541537  | PRF Score
Q-7 Som-0611 9 11.434660453707671  | PRF Score
Q-7 Som-0821 10 10.852856633908706  | PRF Score
Q-7 Som-1330 11 10.542914804388353  | PRF Score
Q-7 Som-0759 12 9.504739098786516  | PRF Score
Q-7 Som-2046 13 8.88240886712857  | PRF Score
Q-7 Som-0193 14 8.713624103967247  | PRF Score
Q-7 Som-2047 15 8.188407029165738  | PRF Score
Q-7 Som-2204 16 8.12010635225489  | PRF Score
Q-7 Som-2242 17 7.308543351673676  | PRF Score
Q-7 Som-0326 18 6.601780771766256  | PRF Score
Q-7 Som-0313 19 6.378411623345039  | PRF Score
Q-7 Som-1791 20 5.958231654736732  | PRF Score
Q-8 Som-1004 1 100.06562572453755  | PRF Score
Q-8 Som-1002 2 91.53963035128281  | PRF Score
Q-8 Som-1003 3 54.3564613925241  | PRF Score
Q-8 Som-1001 4 46.517509321665116  | PRF Score
Q-8 Som-1006 5 43.54793364627635  | PRF Score
Q-8 Som-1899 6 34.10468089001024  | PRF Score
Q-8 Som-1005 7 30.339357533691967  | PRF Score
Q-8 Som-1000 8 27.832153963840412  | PRF Score
Q-8 Som-1009 9 27.25058222813989  | PRF Score
Q-8 Som-1007 10 26.400251957021794  | PRF Score
Q-8 Som-1287 11 21.995656189757618  | PRF Score
Q-8 Som-2044 12 19.12715462910101  | PRF Score
Q-8 Som-1489 13 12.265872454851383  | PRF Score
Q-8 Som-1903 14 10.666086478330811  | PRF Score
Q-8 Som-1309 15 10.484905703925696  | PRF Score
Q-8 Som-1692 16 10.347396522361503  | PRF Score
Q-8 Som-1008 17 9.050193339216275  | PRF Score
Q-8 Som-1505 18 8.950411307833791  | PRF Score
Q-8 Som-2110 19 8.91609498660874  | PRF Score
Q-8 Som-1453 20 8.869321163296732  | PRF Score
Q-9 Som-2130 1 70.84907763227116  | PRF Score
Q-9 Som-2129 2 62.35943170967711  | PRF Score
Q-9 Som-2133 3 51.07638210529339  | PRF Score
Q-9 Som-2135 4 46.13454725030934  | PRF Score
Q-9 Som-2136 5 41.03195496999681  | PRF Score
Q-9 Som-2131 6 31.109821603177288  | PRF Score
Q-9 Som-2132 7 30.588646996983506  | PRF Score
Q-9 Som-2128 8 20.98854165272357  | PRF Score
Q-9 Som-2137 9 19.447099677401535  | PRF Score
Q-9 Som-0500 10 15.265368897200197  | PRF Score
Q-9 Som-2134 11 15.24239824172053  | PRF Score
Q-9 Som-0364 12 15.162268502885244  | PRF Score
Q-9 Som-1547 13 14.931082797535675  | PRF Score
Q-9 Som-2269 14 14.319472555718637  | PRF Score
Q-9 Som-0621 15 14.04091586194486  | PRF Score
Q-9 Som-0028 16 12.426293763168687  | PRF Score
Q-9 Som-2265 17 11.742762629403956  | PRF Score
Q-9 Som-0668 18 11.474109718562122  | PRF Score
Q-9 Som-0022 19 11.415175255557095  | PRF Score
Q-9 Som-0029 20 10.632063155782792  | PRF Score
Q-10 Som-1714 1 57.414416461348154  | PRF Score
Q-10 Som-2293 2 55.68185258847556  | PRF Score
Q-10 Som-1677 3 54.74098469832114  | PRF Score
Q-10 Som-0692 4 53.323357683359724  | PRF Score
Q-10 Som-0522 5 22.790213739665095  | PRF Score
Q-10 Som-0495 6 22.76640641861564  | PRF Score
Q-10 Som-0587 7 22.647294564610934  | PRF Score
Q-10 Som-0527 8 22.492446865874122  | PRF Score
Q-10 Som-0404 9 22.46959883372058  | PRF Score
Q-10 Som-2210 10 22.382499537408854  | PRF Score
Q-10 Som-2071 11 22.047103261400103  | PRF Score
Q-10 Som-1707 12 21.445508375310297  | PRF Score
Q-10 Som-0620 13 20.51577499570035  | PRF Score
Q-10 Som-2334 14 19.21012753380763  | PRF Score
Q-10 Som-0540 15 19.104103535711495  | PRF Score
Q-10 Som-2163 16 18.807377638443207  | PRF Score
Q-10 Som-1703 17 17.154962918166575  | PRF Score
Q-10 Som-1620 18 15.713151790986187  | PRF Score
Q-10 Som-1497 19 15.676868261107728  | PRF Score
Q-10 Som-0809 20 15.590195803059823  | PRF Score
Q-11 Som-1092 1 36.556933281171794  | PRF Score
Q-11 Som-1093 2 30.633162509764766  | PRF Score
Q-11 Som-0728 3 19.717634722103554  | PRF Score
Q-11 Som-2196 4 16.688255083120783  | PRF Score
Q-11 Som-0410 5 16.106550680523526  | PRF Score
Q-11 Som-1053 6 15.932737622289022  | PRF Score
Q-11 Som-2072 7 15.588876284716575  | PRF Score
Q-11 Som-0898 8 15.5395236094321  | PRF Score
Q-11 Som-0532 9 13.819568905937626  | PRF Score
Q-11 Som-0004 10 13.0670100629375  | PRF Score
Q-11 Som-0010 11 12.9535449704659  | PRF Score
Q-11 Som-1186 12 12.425433021026052  | PRF Score
Q-11 Som-1184 13 12.405023743515859  | PRF Score
Q-11 Som-1109 14 12.365607017671655  | PRF Score
Q-11 Som-1055 15 12.073863984566252  | PRF Score
Q-11 Som-1606 16 11.750339091442436  | PRF Score
Q-11 Som-0009 17 11.717015181319383  | PRF Score
Q-11 Som-0008 18 11.359367757800582  | PRF Score
Q-11 Som-0007 19 10.888383392686539  | PRF Score
Q-11 Som-0002 20 10.70334002034992  | PRF Score
Q-12 Som-0783 1 46.62209982125518  | PRF Score
Q-12 Som-0790 2 44.066563116604485  | PRF Score
Q-12 Som-0782 3 43.89539901891495  | PRF Score
Q-12 Som-0787 4 33.158652908917986  | PRF Score
Q-12 Som-1978 5 30.667820079157725  | PRF Score
Q-12 Som-0020 6 27.128875220865794  | PRF Score
Q-12 Som-1196 7 26.037433616607203  | PRF Score
Q-12 Som-0265 8 21.683310032842954  | PRF Score
Q-12 Som-0022 9 17.42527156953049  | PRF Score
Q-12 Som-0956 10 17.04489502353891  | PRF Score
Q-12 Som-2062 11 16.71319038874389  | PRF Score
Q-12 Som-2147 12 16.454630250467844  | PRF Score
Q-12 Som-0985 13 16.20339062265392  | PRF Score
Q-12 Som-0057 14 15.687746046802856  | PRF Score
Q-12 Som-2145 15 15.286743711980135  | PRF Score
Q-12 Som-2057 16 15.149221101725376  | PRF Score
Q-12 Som-2021 17 14.83777073352468  | PRF Score
Q-12 Som-0053 18 14.746034897367018  | PRF Score
Q-12 Som-2065 19 14.591601007180662  | PRF Score
Q-12 Som-2055 20 14.58816839173872  | PRF Score
Q-13 Som-0710 1 50.368844469949835  | PRF Score
Q-13 Som-1844 2 47.315686440917  | PRF Score
Q-13 Som-0700 3 46.08380665357447  | PRF Score
Q-13 Som-0706 4 44.533337576574496  | PRF Score
Q-13 Som-0250 5 12.152576199422462  | PRF Score
Q-13 Som-0224 6 11.106141163178426  | PRF Score
Q-13 Som-2120 7 10.30514291893697  | PRF Score
Q-13 Som-1800 8 9.68668108582745  | PRF Score
Q-13 Som-2178 9 8.301883809690228  | PRF Score
Q-13 Som-2066 10 7.212475298065872  | PRF Score
Q-13 Som-1515 11 7.069060201611936  | PRF Score
Q-13 Som-1410 12 6.988914591788349  | PRF Score
Q-13 Som-0791 13 6.9564499882179796  | PRF Score
Q-13 Som-1736 14 6.655809356792579  | PRF Score
Q-13 Som-1621 15 6.609583052723825  | PRF Score
Q-13 Som-1606 16 6.594153785168924  | PRF Score
Q-13 Som-1216 17 6.553706694676025  | PRF Score
Q-13 Som-0406 18 6.011235725506051  | PRF Score
Q-13 Som-2259 19 5.996771396888945  | PRF Score
Q-13 Som-0049 20 5.501032199703492  | PRF Score
Q-14 Som-0605 1 49.15809443870199  | PRF Score
Q-14 Som-0609 2 48.58971853648719  | PRF Score
Q-14 Som-1460 3 15.545161059950798  | PRF Score
Q-14 Som-0957 4 15.09967344605428  | PRF Score
Q-14 Som-0440 5 11.790925752517625  | PRF Score
Q-14 Som-1189 6 11.606249243155084  | PRF Score
Q-14 Som-0689 7 10.894537779225233  | PRF Score
Q-14 Som-0228 8 10.368180241012944  | PRF Score
Q-14 Som-0573 9 9.991693254548318  | PRF Score
Q-14 Som-0003 10 9.612668177661845  | PRF Score
Q-14 Som-0647 11 9.441130737816568  | PRF Score
Q-14 Som-1537 12 8.32694043968908  | PRF Score
Q-14 Som-0290 13 8.323217233405012  | PRF Score
Q-14 Som-1955 14 8.19920828001105  | PRF Score
Q-14 Som-1962 15 8.108284198848008  | PRF Score
Q-14 Som-2282 16 8.045020394194886  | PRF Score
Q-14 Som-0159 17 7.419163167540926  | PRF Score
Q-14 Som-1575 18 7.3970269537611895  | PRF Score
Q-14 Som-0154 19 7.047923749314267  | PRF Score
Q-14 Som-0880 20 7.02742769271367  | PRF Score
Q-15 Som-1110 1 60.671058024283255  | PRF Score
Q-15 Som-0898 2 54.88876973369064  | PRF Score
Q-15 Som-1052 3 49.76062901366924  | PRF Score
Q-15 Som-1828 4 48.291344560247126  | PRF Score
Q-15 Som-1048 5 47.992695934305246  | PRF Score
Q-15 Som-1060 6 47.594036357720924  | PRF Score
Q-15 Som-0766 7 28.871548121637336  | PRF Score
Q-15 Som-2048 8 24.710629718297046  | PRF Score
Q-15 Som-1845 9 19.021812560793308  | PRF Score
Q-15 Som-2236 10 18.445168714419204  | PRF Score
Q-15 Som-1163 11 18.42773535014203  | PRF Score
Q-15 Som-2009 12 18.403553373958374  | PRF Score
Q-15 Som-1721 13 18.388273145258193  | PRF Score
Q-15 Som-0938 14 18.173607289775866  | PRF Score
Q-15 Som-0483 15 17.993320561548696  | PRF Score
Q-15 Som-1875 16 16.318634519928683  | PRF Score
Q-15 Som-0467 17 16.207677442905414  | PRF Score
Q-15 Som-2255 18 16.05627463399021  | PRF Score
Q-15 Som-1759 19 15.874251986634032  | PRF Score
Q-15 Som-1808 20 15.725569719798365  | PRF Score
Q-16 Som-1306 1 31.330989853145095  | PRF Score
Q-16 Som-1712 2 28.731467216412863  | PRF Score
Q-16 Som-1154 3 23.65759533611484  | PRF Score
Q-16 Som-1392 4 23.128305434679305  | PRF Score
Q-16 Som-1151 5 20.887539663322  | PRF Score
Q-16 Som-1796 6 19.201265262031914  | PRF Score
Q-16 Som-1786 7 17.019520331119114  | PRF Score
Q-16 Som-1284 8 16.29722520344277  | PRF Score
Q-16 Som-1769 9 15.001339415218098  | PRF Score
Q-16 Som-1474 10 11.742177394783827  | PRF Score
Q-16 Som-1157 11 10.784556159931993  | PRF Score
Q-16 Som-1200 12 10.227707262200793  | PRF Score
Q-16 Som-1537 13 9.749058592362326  | PRF Score
Q-16 Som-1025 14 9.466212619898018  | PRF Score
Q-16 Som-1071 15 9.179776266753132  | PRF Score
Q-16 Som-1722 16 8.348856101390629  | PRF Score
Q-16 Som-0013 17 6.327402491209097  | PRF Score
Q-16 Som-0008 18 6.160953560680067  | PRF Score
Q-16 Som-1512 19 6.132498282037384  | PRF Score
Q-16 Som-1335 20 6.12748833548601  | PRF Score
